facility_id,name,operator_company,facility_type,status,state,county,latitude,longitude,coordinate_precision,verification_status,coord_confidence,size_sqft,num_floors,haz_lightning_flash_per_km2_yr,haz_seismic_pga_g_475yr,haz_seismic_pga_g_475yr_method,haz_seismic_pga_g_975yr,haz_seismic_pga_g_975yr_method,haz_seismic_pga_g_2475yr,haz_seismic_pga_g_2475yr_method,haz_wildfire_whp_code,haz_wildfire_whp_severity,haz_wildfire_surface,haz_wildfire_burnable_frac_1000m,haz_wildfire_max_severity_1000m,haz_wildfire_burnable_frac_2400m,haz_wildfire_max_severity_2400m,haz_wildfire_burnable_frac_5000m,haz_wildfire_max_severity_5000m,haz_seismic_pga_g_2475yr_usgs,haz_seismic_sa_02s_g,haz_seismic_sa_1s_g,haz_seismic_sa_02s_g_975yr,haz_seismic_sa_1s_g_975yr,haz_seismic_sa_02s_g_225yr,haz_seismic_sa_1s_g_225yr,haz_seismic_source,qa_coordinate_on_water
dc_1771855b67b2,TelePacific,Ntirety,unknown,operational,CA,San Francisco,37.779653,-122.393857,building,CANDIDATE,medium,,,0.09281287342309952,0.485,1,0.615,1,0.815,1,6.0,,non_burnable,0.0,,0.00816326530612245,3.0,0.012037037037037037,4.0,0.5,1.5,0.6,1.372,0.528,0.739,0.265,USGS ASCE 7-22 point service (site class BC),False
dc_23be1dc53fc6,VaultLogix,,unknown,operational,AZ,Maricopa,33.627367,-111.9017033,building,pending,medium,,,7.846182823181152,0.025,1,0.045,1,0.07500000000000001,1,6.0,,non_burnable,0.07142857142857142,4.0,0.152,4.0,0.24652455977757182,5.0,0.089,0.22,0.065,0.132,0.047,0.046,0.019,USGS ASCE 7-22 point service (site class BC),False
dc_60ad9b8f15c0,Profit Finder Pro Software,,unknown,operational,AZ,Maricopa,33.6272477,-111.9020476,building,pending,medium,,,7.846182823181152,0.025,1,0.045,1,0.07500000000000001,1,6.0,,non_burnable,0.07142857142857142,4.0,0.15040650406504066,4.0,0.24628252788104088,5.0,0.089,0.22,0.065,0.132,0.047,0.046,0.019,USGS ASCE 7-22 point service (site class BC),False
dc_37739045bbd2,DataPro USA Web Development,,unknown,operational,AZ,Maricopa,33.6116624,-111.9139825,building,pending,medium,,,7.846182823181152,0.025,1,0.045,1,0.07500000000000001,1,6.0,,non_burnable,0.06818181818181818,4.0,0.06584362139917696,4.0,0.17435424354243542,5.0,0.087,0.22,0.064,0.129,0.047,0.046,0.019,USGS ASCE 7-22 point service (site class BC),False
dc_4b4306dd4707,e360,,unknown,operational,CA,Contra Costa,37.9710809,-122.0437382,building,UNRESOLVABLE,medium,,,0.09281287342309952,0.485,1,0.635,1,0.865,1,6.0,,non_burnable,0.022727272727272728,3.0,0.044,4.0,0.16309412861137,4.0,0.84,2.43,0.82,1.9,0.647,0.959,0.316,USGS ASCE 7-22 point service (site class BC),False
dc_dd96fac8908c,Digital Realty ORD10,Digital Realty,colocation,operational,IL,Cook,41.8533507,-87.6183067,building,pending,medium,,,16.118194580078125,0.035,1,0.055,1,0.095,1,6.0,,non_burnable,0.0,,0.012096774193548387,1.0,0.008341056533827619,1.0,0.072,0.15,0.07,0.073,0.046,0.031,0.016,USGS ASCE 7-22 point service (site class BC),False
dc_54fd156f6e89,Centersquare Chicago Data Center - ORD1,Centersquare,colocation,operational,IL,Cook,41.8533827,-87.6186071,building,pending,medium,,,16.118194580078125,0.035,1,0.055,1,0.095,1,6.0,,non_burnable,0.0,,0.012048192771084338,1.0,0.008333333333333333,1.0,0.072,0.15,0.07,0.073,0.046,0.031,0.016,USGS ASCE 7-22 point service (site class BC),False
dc_06c982ebea67,K-Motion Interactive,,unknown,operational,AZ,Maricopa,33.6344843,-111.8843457,building,pending,medium,,,7.846182823181152,0.025,1,0.045,1,0.08499999999999999,1,6.0,,non_burnable,0.25,4.0,0.23622047244094488,4.0,0.33676333021515437,5.0,0.091,0.23,0.065,0.133,0.047,0.047,0.02,USGS ASCE 7-22 point service (site class BC),False
dc_e2f0d5b0e152,West Monroe,,unknown,operational,IL,Cook,41.8805271,-87.6359383,building,pending,medium,,,16.118194580078125,0.035,1,0.055,1,0.095,1,6.0,,non_burnable,0.0,,0.004032258064516129,1.0,0.011152416356877323,1.0,0.071,0.15,0.07,0.073,0.046,0.03,0.016,USGS ASCE 7-22 point service (site class BC),False
dc_b5221ae8a695,Iron Mountain Data Centers AZS-1,,colocation,operational,AZ,Maricopa,33.6446663,-111.8960985,building,pending,medium,,,7.846182823181152,0.025,1,0.045,1,0.08499999999999999,1,6.0,,non_burnable,0.3488372093023256,4.0,0.3588709677419355,4.0,0.35435992578849723,4.0,0.091,0.23,0.066,0.134,0.048,0.047,0.02,USGS ASCE 7-22 point service (site class BC),False
dc_1ecd2bc35dc3,CoreSite Chicago Data Center (CH1),CoreSite,colocation,operational,IL,Cook,41.8759405,-87.6314655,building,pending,medium,,,16.118194580078125,0.035,1,0.055,1,0.095,1,6.0,,non_burnable,0.0,,0.008097165991902834,1.0,0.009259259259259259,1.0,0.071,0.15,0.07,0.073,0.046,0.03,0.016,USGS ASCE 7-22 point service (site class BC),False
dc_dc42b75a08e1,Accelera Data Systems,,unknown,operational,AZ,Maricopa,33.6647455,-112.1117142,building,pending,medium,,,7.146243572235107,0.025,1,0.045,1,0.07500000000000001,1,6.0,,non_burnable,0.0,,0.02857142857142857,4.0,0.18477251624883936,5.0,0.083,0.21,0.062,0.128,0.046,0.045,0.019,USGS ASCE 7-22 point service (site class BC),False
dc_41dcb90246ba,Expedient Owings Mills,Expedient,unknown,operational,MD,Baltimore,39.427109,-76.81164,building,CANDIDATE,medium,,,14.052087783813477,0.065,1,0.095,1,0.185,1,6.0,,non_burnable,0.4883720930232558,1.0,0.5306122448979592,1.0,0.6182994454713494,1.0,0.082,0.16,0.041,0.085,0.03,0.032,0.013,USGS ASCE 7-22 point service (site class BC),False
dc_06efc6377b82,Lumen Baltimore,Lumen Technologies,colocation,operational,MD,Baltimore,39.291653,-76.619739,building,CANDIDATE,medium,,,14.052087783813477,0.055,1,0.095,1,0.175,1,6.0,,non_burnable,0.0,,0.020161290322580645,1.0,0.09090909090909091,1.0,0.081,0.16,0.041,0.084,0.029,0.032,0.013,USGS ASCE 7-22 point service (site class BC),False
dc_aeb9d6e08cbd,Expedient Tidepoint,Expedient,unknown,operational,MD,Baltimore,39.274763,-76.590562,building,CANDIDATE,medium,,,14.052087783813477,0.055,1,0.095,1,0.165,1,6.0,,non_burnable,0.0,,0.0326530612244898,1.0,0.056533827618164965,1.0,0.081,0.16,0.041,0.084,0.029,0.032,0.013,USGS ASCE 7-22 point service (site class BC),False
dc_366bd093071c,Flexential - Denver - Centennial Data Center,Flexential,colocation,operational,CO,Arapahoe,39.5938733,-104.8431597,building,pending,medium,,,10.969576835632324,0.045,1,0.07500000000000001,1,0.155,1,6.0,,non_burnable,0.19047619047619047,3.0,0.3588709677419355,4.0,0.3849721706864564,4.0,0.09,0.18,0.043,0.125,0.038,0.051,0.016,USGS ASCE 7-22 point service (site class BC),False
