facility_id,name,state,latitude,longitude,building_match,building_dist_m,search_radius_m,n_buildings_in_radius,largest_nearby_sqft,largest_nearby_dist_m,largest_nearby_height_m,build_id,footprint_sqft,source_sqft,height_m,occupancy_class,building_address,imagery_date,flood_zone,flood_mapped,flood_sfha,flood_subtype,building_match_confidence,multi_storey,fp_cells,fp_whp_max,fp_whp_burnable_frac,fp_whp_modal,haz_wildfire_whp_code,haz_wildfire_max_severity_1000m,haz_seismic_pga_g_475yr,haz_lightning_flash_per_km2_yr
dc_139e10563e60,,CA,37.3706431,-121.9744825,contains,0.0,200.0,19,111468.5,0.0,7.04,15731920.0,111468.5,111468.4,7.04,Industrial,,1349049600000.0,X,True,False,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,high,False,4.0,,0.0,6.0,6.0,,0.525,0.1221932545304298
dc_c99149f78d34,Vantage Santa Clara CA2,CA,37.3640012,-121.94689,nearest,7.371164246906652,200.0,35,297381.2,197.546929827885,8.49,15719783.0,29418.3,29418.31,7.1,Residential,,1349049600000.0,X,True,False,AREA WITH REDUCED FLOOD RISK DUE TO LEVEE,high,False,4.0,,0.0,6.0,6.0,3.0,0.565,0.1221932545304298
dc_4f36c545582c,Digital Realty Silicon Valley SJC37,CA,37.3709193,-121.9472166,contains,0.0,200.0,12,181056.5,0.0,6.92,15732556.0,181056.5,181056.3,6.92,Industrial,,1349049600000.0,AH,True,True,,high,False,1.0,,0.0,6.0,6.0,2.0,0.565,0.1221932545304298
dc_1d940d38b3eb,Switch Las Vegas 12,NV,36.0579919,-115.2103279,nearest,164.65987937285306,200.0,3,325116.7,164.65987937285306,10.39,2112046.0,325116.7,325116.4,10.39,Commercial,,1393977600000.0,X,True,False,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,high,False,4.0,,0.0,6.0,6.0,2.0,0.065,3.602787733078003
dc_68ec06e28857,QTS,AZ,33.4646803,-111.9975601,nearest,130.9497448046209,200.0,12,15077.2,179.84743198014226,5.73,11006572.0,3939.7,3939.679,7.14,Residential,3850 EAST MCDOWELL ROAD,1412467200000.0,X,True,False,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,high,False,1.0,,0.0,6.0,6.0,5.0,0.025,7.883434772491455
dc_becc405617af,,IL,42.0230805,-87.9614627,nearest,31.67529875544322,200.0,13,160439.0,194.30236317627413,9.6,34599184.0,66380.8,66380.79,6.61,Residential,1600 OAKTON STREET,1321315200000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,high,False,4.0,,0.0,6.0,6.0,1.0,0.035,14.088419914245604
dc_f152760b1463,NTT,TX,32.98098,-96.6595,nearest,171.4081165365734,200.0,2,22836.3,171.4081165365734,8.8,30204113.0,22836.3,22836.29,8.8,Commercial,5535 NORTHMOOR DR,1435708800000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,high,False,2.0,,0.0,6.0,6.0,2.0,0.025,18.841638565063477
dc_e1a3bd223170,NTT,TX,32.9813,-96.6586,nearest,123.00236619899536,200.0,4,235970.3,133.79206410240877,,37292446.0,2626.7,2627.736,,Commercial,5535 NORTHMOOR DR,1654992000000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,high,,1.0,,0.0,6.0,6.0,2.0,0.025,18.841638565063477
dc_dd0e72c403c9,Digital Realty Northern Virginia IAD44,VA,38.961019,-77.491648,nearest,37.16212807218813,200.0,4,89454.3,82.31823269398487,,51097520.0,21159.9,21167.23,,Commercial,43704 EFFICIENCY DRIVE,1655424000000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,high,,1.0,1.0,1.0,1.0,1.0,1.0,0.055,13.629328727722168
dc_710f9439619a,Centersquare Ashburn IAD4 Data Center,VA,39.0219969,-77.4532002,nearest,12.46824243549791,200.0,9,250520.8,200.93129286139663,,7873684.0,1414.8,1414.839,6.87,Commercial,21571 BEAUMEADE CIRCLE,1205280000000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,high,False,1.0,,0.0,6.0,6.0,1.0,0.055,13.613815307617188
dc_2603730d0b62,Microsoft,IA,41.49581,-93.78705,nearest,215.26803494818387,800.0,17,9500.3,290.3804028359061,,965597.0,1583.4,1582.308,,Commercial,,1565654400000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,low,,1.0,,0.0,6.0,1.0,1.0,0.015,16.575979232788086
dc_553e538d8ae8,Microsoft,IA,41.4947497,-93.7870201,nearest,222.19405366824708,800.0,18,13359.9,693.9744334399113,,964165.0,2639.0,2637.145,,Residential,924 NORTH 60TH STREET,1565654400000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,low,,1.0,,0.0,6.0,1.0,2.0,0.015,16.575979232788086
dc_d8f1873aaf3c,Apple,IA,41.6168519,-93.9243968,nearest,52.14961044680448,200.0,8,5541.7,119.68478702023543,,1072470.0,1401.9,1400.997,,Unclassified,,1503446400000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,high,,1.0,,0.0,6.0,6.0,1.0,0.015,14.173967361450195
dc_4b71e4693405,,VA,38.9498414,-77.549551,nearest,222.8734792871371,800.0,176,12709.7,521.9751932385228,,51556540.0,2896.0,2897.168,,Residential,42138 CAMERON PARISH DRIVE,1654387200000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,low,,2.0,1.0,0.5,1.0,1.0,1.0,0.065,12.71955680847168
dc_b297a9da2ee8,,OH,40.2223,-83.041,contains,0.0,200.0,3,32389.5,0.0,,346786.0,32389.5,32253.67,,Commercial,268 GREIF PARKWAY,1546646400000.0,X,True,False,AREA OF MINIMAL FLOOD HAZARD,high,,2.0,1.0,0.5,1.0,1.0,1.0,0.035,15.455096244812012
